,time,Vmag,Verr
942,2016.9205472677593,0.507,0.005
943,2016.9235710382507,0.498,0.006999999999999999
944,2016.9398166666665,0.535,0.005
945,2016.9422300546444,0.482,0.011000000000000001
946,2016.9586103825138,0.532,0.006
947,2016.9588964480877,0.519,0.006999999999999999
948,2016.9708846994533,0.466,0.001
949,2016.986452185792,0.508,0.008
950,2016.9943065573766,0.501,0.005
951,2016.9968155737702,0.493,0.005
952,2016.998003825137,0.456,0.003
953,2016.9995434426223,0.53,0.011000000000000001
954,2017.01605890411,0.5,0.01
955,2017.0335038356163,0.451,0.001
956,2017.0405528767124,0.499,0.009000000000000001
957,2017.0459432876708,0.517,0.012
958,2017.0487786301373,0.501,0.006999999999999999
959,2017.051424383562,0.499,0.005
960,2017.0570958904104,0.48,0.008
961,2017.0706339726032,0.51,0.005
962,2017.0706397260271,0.509,0.006
963,2017.119816438356,0.439,0.004
964,2017.1198216438356,0.437,0.004
965,2017.1226032876716,0.437,0.008
966,2017.1253175342467,0.432,0.005
967,2017.133731506849,0.404,0.006999999999999999
968,2017.1362821917803,0.406,0.004
969,2017.1527731506856,0.361,0.021
970,2017.152778356164,0.414,0.004
971,2017.1583821917807,0.395,0.005
972,2017.1583876712325,0.394,0.004
973,2017.1637364383557,0.382,0.004
974,2017.1637443835618,0.387,0.006
975,2017.1947394520541,0.298,0.001
976,2017.1966345205483,0.283,0.012
977,2017.1966405479454,0.303,0.006999999999999999
978,2017.2240427397255,0.328,0.02
979,2017.2248109589038,0.29,0.01
980,2017.2322558904104,0.343,0.006999999999999999
981,2017.23226109589,0.328,0.02
982,2017.2377364383565,0.334,0.012
983,2017.237741643836,0.355,0.006999999999999999
984,2017.2431983561637,0.293,0.004
985,2017.2432035616432,0.283,0.006
986,2017.2486860273966,0.27,0.009000000000000001
987,2017.2486912328764,0.271,0.009000000000000001
988,2017.2706364383564,0.266,0.005
989,2017.2706446575346,0.273,0.009000000000000001
990,2017.3035249315074,0.294,0.042
991,2017.3035463013698,0.123,0.027000000000000003
992,2017.303554520548,0.227,0.033
993,2017.3035608219175,0.214,0.026000000000000002
994,2017.3144986301368,0.102,0.045
995,2017.646926849315,0.479,0.012
996,2017.6469323287668,0.481,0.012
997,2017.6577734246569,0.564,0.005
998,2017.657865479452,0.53,0.006
999,2017.6578715068492,0.543,0.006999999999999999
1000,2017.6989756164382,0.612,0.01
1001,2017.698980821918,0.603,0.006
1002,2017.7015972602742,0.593,0.008
1003,2017.7016032876716,0.613,0.008
1004,2017.7125232876713,0.614,0.005
1005,2017.7125284931508,0.598,0.01
1006,2017.7373739726024,0.646,0.008
1007,2017.7373797260275,0.65,0.005
1008,2017.761908219178,0.692,0.005
1009,2017.7619131506854,0.692,0.008
1010,2017.7783531506852,0.71,0.004
1011,2017.778358904109,0.723,0.002
1012,2017.7893734246582,0.722,0.005
1013,2017.7893786301365,0.723,0.005
1014,2017.8224087671235,0.777,0.008
1015,2017.8224139726033,0.769,0.006999999999999999
1016,2017.8300887671235,0.783,0.006
1017,2017.830093972603,0.781,0.004
1018,2017.835514794521,0.737,0.01
1019,2017.8355200000005,0.752,0.006999999999999999
1020,2017.8709956164382,0.678,0.012
1021,2017.8710010958898,0.706,0.011000000000000001
1022,2017.8737106849312,0.713,0.008
1023,2017.8737156164386,0.713,0.011000000000000001
1024,2017.884903561644,0.7,0.01
1025,2017.8849087671235,0.706,0.006
1026,2017.890910684931,0.472,0.017
1027,2017.8909158904105,0.54,0.006999999999999999
1028,2017.9036978082195,0.727,0.017
1029,2017.9311345205476,0.646,0.01
1030,2017.9311391780816,0.655,0.006
1031,2017.9340194520553,0.637,0.006999999999999999
1032,2017.934024931507,0.636,0.006
1033,2017.9501860273976,0.611,0.006
1034,2017.9501912328772,0.562,0.017
1035,2017.980403561644,0.56,0.005
1036,2017.9804087671234,0.575,0.008
1037,2017.9806936986297,0.569,0.005
1038,2017.9806991780827,0.571,0.004
1039,2017.9831778082194,0.562,0.005
1040,2017.983183287671,0.56,0.003
1041,2017.993979178082,0.539,0.009000000000000001
1042,2017.9939843835616,0.532,0.009000000000000001
1043,2017.9997964383563,0.559,0.009000000000000001
1044,2017.9998019178079,0.558,0.008
1045,2018.005090410959,0.559,0.013999999999999999
1046,2018.007767671233,0.536,0.009000000000000001
1047,2018.007773150685,0.529,0.008
1048,2018.0460002739721,0.507,0.008
1049,2018.0513342465758,0.5,0.005
1050,2018.0513394520553,0.514,0.009000000000000001
1051,2018.0650071232874,0.515,0.005
1052,2018.0650120547948,0.538,0.004
1053,2018.067820821918,0.53,0.01
1054,2018.0678260273976,0.514,0.018000000000000002
1055,2018.0787383561649,0.526,0.003
1056,2018.0787465753428,0.534,0.003
1057,2018.0796383561642,0.281,0.02
1058,2018.0842534246574,0.533,0.006999999999999999
1059,2018.0842583561648,0.54,0.004
1060,2018.095342465753,0.534,0.004
1061,2018.0953476712325,0.528,0.006
1062,2018.15001369863,0.55,0.004
1063,2018.1501361643832,0.535,0.003
1064,2018.1527805479448,0.54,0.006
1065,2018.1527857534243,0.545,0.006
1066,2018.160959452055,0.529,0.006999999999999999
1067,2018.1609646575346,0.522,0.005
1068,2018.1701901369868,0.484,0.004
1069,2018.1702000000005,0.496,0.012
1070,2018.1830221917812,0.533,0.005
1071,2018.1830271232873,0.558,0.009000000000000001
1072,2018.1919671232877,0.0467,0.02
1073,2018.1974767123286,0.499,0.016
1074,2018.2185169863017,0.541,0.006
1075,2018.2185213698635,0.538,0.006999999999999999
