time,Mag
1984.3169398907103,7.9
1984.3224043715848,7.8
1984.3261748633877,8.4
1984.3360655737704,8.3
1984.337158469945,8.2
1984.3461748633886,8.6
1984.3497267759562,8.1
1984.3579234972678,8.1
1984.3688524590164,7.8
1984.3762295081972,8.3
1984.377049180328,7.7
1984.3907103825136,7.8
1984.3953551912573,7.8
1984.412295081967,7.9
1984.4144808743174,8.4
1984.4204918032785,8.1
1984.4300819672135,8.2
1984.4560109289614,8.0
1984.4581967213119,8.6
1984.4751366120215,7.8
1984.4778688524589,8.0
1984.4915300546445,8.0
1984.5133879781417,7.8
1984.5325136612018,7.7
1984.5740437158472,8.2
1984.6478142076505,8.0
1984.759836065574,7.6
1984.7655737704922,8.1
1984.7694535519129,8.0
1984.7901639344268,7.8
1984.79262295082,7.9
1984.8010928961753,7.7
1984.8144808743173,7.7
1984.8172131147544,8.0
1984.8363387978145,7.4
1984.847267759563,7.6
1984.8693989071044,7.7
1984.8767759562838,8.3
1984.880054644809,7.5
1984.8950819672134,7.8
1984.896448087432,7.8
1984.9040983606556,8.0
1984.9098360655737,7.8
1984.915573770492,7.7
1984.9193715847,8.0
1984.9232240437157,8.7
1984.92868852459,8.0
1984.9289617486338,7.9
1984.929234972678,7.8
1984.94781420765,7.9
1984.948633879782,7.4
1984.9575683060116,8.2
1984.9592896174865,7.7
1984.964480874317,7.9
1984.9726775956285,7.9
1984.9739617486343,8.2
1984.983060109289,8.0
1984.9866120218583,7.8
1984.99043715847,7.9
1984.9986338797814,8.0
1985.0,8.0
1985.0027397260274,8.4
1985.0087671232882,8.3
1985.009589041096,8.0
1985.0117808219172,8.1
1985.014246575343,8.0
1985.015041095891,8.1
1985.0191780821917,8.1
1985.0295890410953,8.0
1985.0298630136983,7.9
1985.031506849315,8.3
1985.0386301369865,8.0
1985.0397260273974,8.0
1985.0443835616443,8.5
1985.0443835616443,8.2
1985.0498630136992,8.3
1985.0520547945205,8.1
1985.0534246575342,7.9
1985.0569863013693,8.4
1985.0671232876712,8.0
1985.069041095891,8.2
1985.0725205479457,8.3
1985.0739726027398,7.9
1985.076438356164,8.2
1985.0794520547945,8.5
1985.0838356164386,8.0
1985.104383561644,8.3
1985.105315068493,8.5
1985.113698630137,8.0
1985.1153424657537,8.4
1985.118082191781,8.3
1985.1221917808223,8.1
1985.1245479452054,8.5
1985.1263013698633,8.3
1985.1402739726032,8.2
1985.1490410958902,8.1
1985.1509589041098,8.3
1985.1556164383558,7.9
1985.159178082192,8.3
1985.160109589041,8.5
1985.1693150684926,8.2
1985.1783561643838,7.8
1985.1875342465758,8.6
1985.1930410958903,8.3
1985.1975342465755,8.3
1985.2049315068489,8.0
1985.2084931506852,8.3
1985.2084931506852,8.3
1985.2112328767125,8.1
1985.213150684931,8.5
1985.21397260274,8.2
1985.2169863013703,8.2
1985.2176438356162,8.6
1985.2249315068495,8.3
1985.2260273972602,8.3
1985.227671232877,8.3
1985.2304109589043,8.3
1985.2342465753425,8.5
1985.2380821917807,8.3
1985.2423013698628,8.5
1985.2441095890413,8.3
1985.24904109589,8.3
1985.2599999999998,8.0
1985.2654794520545,8.3
1985.2797260273976,8.3
1985.283260273973,8.3
1985.2852054794523,8.5
1985.2871232876707,8.4
1985.290684931507,8.3
1985.2934246575346,8.3
1985.2945205479452,8.4
1985.299726027397,8.4
1985.3090410958898,8.4
1985.3517808219176,8.5
1985.3573150684929,8.5
1985.4856712328767,8.5
1985.5400000000002,8.6
1985.592054794521,8.4
1985.6386301369866,8.4
1985.641369863014,8.4
1985.6715068493154,8.6
1985.7263013698632,8.8
1985.7290410958906,8.5
1985.778356164384,8.6
1985.7879452054797,8.8
1985.7879452054797,8.8
1985.7890410958903,8.8
1985.7931506849316,8.7
1985.7963287671237,8.6
1985.800273972603,8.6
1985.8441095890414,8.9
1985.8632876712331,8.6
1985.8780273972602,8.7
1985.8824657534249,8.5
1985.9232876712329,8.7
1985.9315068493152,8.7
1985.946684931507,8.7
1985.9613698630135,8.8
1985.9630136986302,8.5
1985.9930958904108,8.9
1986.0094794520546,8.6
1986.0147945205476,8.8
1986.0287671232877,8.4
1986.0306849315073,8.6
1986.0309589041092,8.7
1986.0366849315071,8.5
1986.0369863013698,8.4
1986.045205479452,8.4
1986.050547945206,8.8
1986.0515068493146,8.7
1986.055342465754,8.7
1986.0698630136985,8.5
1986.0769863013702,8.7
1986.0838356164386,8.5
1986.0971232876718,8.6
1986.1054794520549,8.5
1986.1273150684938,8.7
1986.127397260274,8.5
1986.140164383562,8.9
1986.145479452055,8.7
1986.16301369863,8.4
1986.1704109589045,8.8
1986.1720547945201,9.2
1986.1720547945201,8.5
1986.182191780822,8.5
1986.1832876712326,9.3
1986.1838356164385,8.6
1986.1929041095896,8.8
1986.1931506849314,8.5
1986.1939726027392,9.0
1986.1947945205482,8.6
1986.195726027397,8.6
1986.199452054794,9.6
1986.2112328767125,8.9
1986.213424657534,8.7
1986.219698630137,8.5
1986.2205205479459,8.9
1986.2386301369866,8.7
1986.2460273972597,9.2
1986.248767123287,8.5
1986.2613698630134,8.5
1986.2616438356165,9.0
1986.2660273972606,9.0
1986.2699178082191,9.1
1986.2778082191778,8.5
1986.2879452054797,9.0
1986.3071232876714,9.0
1986.3252054794525,8.6
1986.3517808219176,9.0
1986.355342465754,8.8
1986.3573150684929,9.2
1986.376602739726,9.0
1986.398438356165,9.1
1986.4019178082197,8.7
1986.4230136986298,9.1
1986.4265753424663,8.8
1986.668767123288,8.7
